title,body,labels,milestone
P2-001: Confirm Phase 2 entry gates,"Source: `docs/phase2-backlog.md`

Done when:

Windows clone records `Tools/windows/run_phase2_entry_validation.ps1` output, `quality_gate.py --require-ue`, `unreal_gate.py --platform Win64 --include-server`, dedicated-server boot, client-join, ready-lobby, and key smoke profile evidence in a cycle file

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,entry-gates,platform",Phase 2
P2-005: Dedicated server client-join validation,"Source: `docs/phase2-backlog.md`

Done when:

`Tools/windows/run_dedicated_client_join_validation.ps1`, `Tools/windows/run_dedicated_ready_validation.ps1`, or the phase entry wrapper pass on Windows with server JSONL evidence, 5 client connections, role assignment, and ready-lobby match start

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,entry-gates,platform",Phase 2
P2-002: Enable Steam dev config safely,"Source: `docs/phase2-backlog.md`

Done when:

`Tools/windows/check_steam_dev_config.ps1` verifies committed defaults stay Null/LAN safe; optional ignored `Saved/Config/steam_dev.local.ini` passes validation before Steam Lobby work

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,steam-lobby,platform",Phase 2
P2-003: Steam Lobby create/find/join spike,"Source: `docs/phase2-backlog.md`

Done when:

A Windows-only spike can create a lobby, list/find it, join from a second client, validate metadata with `Tools/ops/lobby_metadata_check.py`, and travel into the same Unreal authoritative server path without trusting lobby state for gameplay

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,steam-lobby,platform",Phase 2
P2-004: Lobby build/version rejection,"Source: `docs/phase2-backlog.md`

Done when:

Lobby metadata follows `Tools/ops/lobby_metadata.schema.json`; mismatched build or map id is rejected before travel with a logged reason

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,steam-lobby,platform",Phase 2
P2-006: Steam auth ticket and ownership gate,"Source: `docs/phase2-backlog.md`

Done when:

Backend and Unreal integration plan verifies Steam identity before trusted reports, moderation identities, or protected server metadata are accepted

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,auth-and-moderation-identity,platform",Phase 2
P2-007: Steam Server Browser design gate,"Source: `docs/phase2-backlog.md`

Done when:

Design note records whether discovery uses Steam Game Servers API, Steam Lobby metadata, backend fleet metadata, or a staged combination, with gameplay code kept endpoint-agnostic

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,server-discovery-and-tool-app,platform",Phase 2
P2-008: Steam Game Servers API registration prototype,"Source: `docs/phase2-backlog.md`

Done when:

Dedicated server registers a development server entry with required metadata and logs registration success/failure without blocking local offline validation

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,server-discovery-and-tool-app,platform",Phase 2
P2-009: In-game Server Browser prototype,"Source: `docs/phase2-backlog.md`

Done when:

Game UI lists official/community, region, player count, map, ruleset, password/private state, and join rejection reasons from a local or Steam-backed provider

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,server-discovery-and-tool-app,platform",Phase 2
P2-010: Dedicated Server Tool App checklist,"Source: `docs/phase2-backlog.md`

Done when:

Steam Tool App package checklist exists for AppID split, Dedicated Server Redistributables, `steam_appid.txt`, example config, launch scripts, log path, and local banlist path

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,server-discovery-and-tool-app,platform",Phase 2
P2-011: SteamCMD install verification plan,"Source: `docs/phase2-backlog.md`

Done when:

A Windows runbook verifies anonymous or permitted SteamCMD install of the dedicated server tool into a clean folder and launches it with example config

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,server-discovery-and-tool-app,platform",Phase 2
P2-012: SDR connection model decision,"Source: `docs/phase2-backlog.md`

Done when:

Decision record chooses hosted dedicated server, FakeIP, known data center, or staged fallback; it states whether a backend coordinator must issue relay auth tickets

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,steam-datagram-relay,platform",Phase 2
P2-013: SDR prototype gate,"Source: `docs/phase2-backlog.md`

Done when:

A development server/client path uses the chosen relay model or records the blocker and fallback; gameplay code does not depend on raw public IP assumptions

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,steam-datagram-relay,platform",Phase 2
P2-014: Voice Chat Interface provider spike,"Source: `docs/phase2-backlog.md`

Done when:

Unreal Voice Chat Interface provider choice is recorded with setup steps, cost/licensing constraints, mute/block behavior, and Windows test command

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,voice,platform",Phase 2
P2-015: Proximity voice gameplay acceptance,"Source: `docs/phase2-backlog.md`

Done when:

5-8 player test confirms distance falloff, wall/room attenuation decision, dead/downed/contained voice rules, mute/block UX, and no external chat-service dependency in the play loop

Validation evidence:

- [ ] Command output or cycle link added
- [ ] Result recorded in a cycle file
- [ ] No raw logs, recordings, or personal identifiers committed","phase-2,voice,platform",Phase 2
